STATION	Month	SNOW
USW00094860	January	0.9
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0.3
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0
USW00094860	January	2.1
USW00094860	January	2.6
USW00094860	January	4.7
USW00094860	January	1.9
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0.1
USW00094860	January	0.3
USW00094860	January	2.6
USW00094860	January	0.3
USW00094860	January	0.6
USW00094860	January	0.6
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0
USW00094860	January	2.2
USW00094860	January	1.2
USW00094860	January	0.4
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0
USW00094860	February	0
USW00094860	February	0
USW00094860	February	0
USW00094860	February	0.8
USW00094860	February	0.2
USW00094860	February	0
USW00094860	February	0
USW00094860	February	0
USW00094860	February	0
USW00094860	February	0.1
USW00094860	February	0
USW00094860	February	1
USW00094860	February	0
USW00094860	February	0
USW00094860	February	0.6
USW00094860	February	0.5
USW00094860	February	0
USW00094860	February	0
USW00094860	February	0
USW00094860	February	0
USW00094860	February	0
USW00094860	February	0
USW00094860	February	0
USW00094860	February	7.3
USW00094860	February	3.9
USW00094860	February	0
USW00094860	February	0
USW00094860	February	0.4
USW00094860	February	0
USW00094860	March	7.4
USW00094860	March	0
USW00094860	March	0.4
USW00094860	March	0.2
USW00094860	March	2.1
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	March	0
USW00094860	April	0
USW00094860	April	3.2
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	April	5.4
USW00094860	April	0.2
USW00094860	April	0.6
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	April	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	May	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	June	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	July	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	August	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	September	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	October	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0.8
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	November	0
USW00094860	December	0
USW00094860	December	0
USW00094860	December	0
USW00094860	December	5.6
USW00094860	December	0
USW00094860	December	0
USW00094860	December	0
USW00094860	December	1.1
USW00094860	December	3.5
USW00094860	December	4.5
USW00094860	December	8.9
USW00094860	December	0.2
USW00094860	December	0.7
USW00094860	December	2.6
USW00094860	December	1.7
USW00094860	December	2.9
USW00094860	December	1.2
USW00094860	December	1.5
USW00094860	December	0.1
USW00094860	December	0
USW00094860	December	0
USW00094860	December	0
USW00094860	December	1.5
USW00094860	December	0.2
USW00094860	December	0
USW00094860	December	0
USW00094860	December	0
USW00094860	December	0
USW00094860	December	0.8
USW00094860	December	0
USW00094860	December	0
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0.1
USW00094860	January	1.1
USW00094860	January	0.9
USW00094860	January	0.3
USW00094860	January	2.2
USW00094860	January	0
USW00094860	January	1.7
USW00094860	January	1.3
USW00094860	January	0
USW00094860	January	0.2
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0
USW00094860	January	0.2
USW00094860	January	0.2
USW00094860	January	0.3
USW00094860	January	0.6
USW00094860	January	2.4
USW00094860	January	3.3
USW00094860	February	1.2
USW00094860	February	0
USW00094860	February	0
USW00094860	February	0
USW00094860	February	0
USW00094860	February	0
USW00094860	February	0
USW00094860	February	0
USW00094860	February	0.7
USW00094860	February	0
USW00094860	February	0
USW00094860	February	0
